eval_id,query,normalized_query,query_type,difficulty,expected_record_ids,expected_group_id,expected_behavior,requested_field
E-REC-005-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-005,DOC-METADATA,answer,
E-REC-005-4,منيوال,منيوال,typo,medium,REC-005,DOC-METADATA,answer,
E-REC-005-5,Manual Name and Abbreviation,manual name and abbreviation,bilingual,medium,REC-005,DOC-METADATA,answer,
E-REC-006-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-006,DOC-METADATA,answer,
E-REC-006-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-006,DOC-METADATA,answer,
E-REC-006-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-006,DOC-METADATA,answer,
E-REC-006-4,منيوال,منيوال,typo,medium,REC-006,DOC-METADATA,answer,
E-REC-006-5,Publication Number,publication number,bilingual,medium,REC-006,DOC-METADATA,answer,
E-REC-007-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-007,DOC-METADATA,answer,
E-REC-007-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-007,DOC-METADATA,answer,
E-REC-007-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-007,DOC-METADATA,answer,
E-REC-007-4,منيوال,منيوال,typo,medium,REC-007,DOC-METADATA,answer,
E-REC-007-5,Exclusive Use,exclusive use,bilingual,medium,REC-007,DOC-METADATA,answer,
E-REC-008-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-008,DOC-METADATA,answer,
E-REC-008-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-008,DOC-METADATA,answer,
E-REC-008-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-008,DOC-METADATA,answer,
E-REC-008-4,منيوال,منيوال,typo,medium,REC-008,DOC-METADATA,answer,
E-REC-008-5,Reproduction and Commercial Use,reproduction and commercial use,bilingual,medium,REC-008,DOC-METADATA,answer,
E-REC-009-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-009,SEC-1.2,answer,
E-REC-009-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-009,SEC-1.2,answer,
E-REC-009-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-009,SEC-1.2,answer,
E-REC-009-4,منيوال,منيوال,typo,medium,REC-009,SEC-1.2,answer,
E-REC-009-5,Edition Approval Basis,edition approval basis,bilingual,medium,REC-009,SEC-1.2,answer,
E-REC-010-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-010,SEC-1.2,answer,
E-REC-010-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-010,SEC-1.2,answer,
E-REC-010-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-010,SEC-1.2,answer,
E-REC-010-4,منيوال,منيوال,typo,medium,REC-010,SEC-1.2,answer,
E-REC-010-5,Major Manual Revision,major manual revision,bilingual,medium,REC-010,SEC-1.2,answer,
E-REC-011-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-011,SEC-1.2,answer,
E-REC-011-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-011,SEC-1.2,answer,
E-REC-011-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-011,SEC-1.2,answer,
E-REC-011-4,منيوال,منيوال,typo,medium,REC-011,SEC-1.2,answer,
E-REC-011-5,Financial Changes,financial changes,bilingual,medium,REC-011,SEC-1.2,answer,
E-REC-012-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-012,SEC-1.2,answer,
E-REC-012-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-012,SEC-1.2,answer,
E-REC-012-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-012,SEC-1.2,answer,
E-REC-012-4,منيوال,منيوال,typo,medium,REC-012,SEC-1.2,answer,
E-REC-012-5,Recruitment Changes,recruitment changes,bilingual,medium,REC-012,SEC-1.2,answer,
E-REC-013-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-013,SEC-1.2,answer,
E-REC-013-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-013,SEC-1.2,answer,
E-REC-013-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-013,SEC-1.2,answer,
E-REC-013-4,منيوال,منيوال,typo,medium,REC-013,SEC-1.2,answer,
E-REC-013-5,Minor Amendments,minor amendments,bilingual,medium,REC-013,SEC-1.2,answer,
E-REC-014-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-014,SEC-1.2,answer,
E-REC-014-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-014,SEC-1.2,answer,
E-REC-014-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-014,SEC-1.2,answer,
E-REC-014-4,منيوال,منيوال,typo,medium,REC-014,SEC-1.2,answer,
E-REC-014-5,Manual Familiarity,manual familiarity,bilingual,medium,REC-014,SEC-1.2,answer,
E-REC-015-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-015,SEC-1.2,answer,
E-REC-015-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-015,SEC-1.2,answer,
E-REC-015-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-015,SEC-1.2,answer,
E-REC-015-4,منيوال,منيوال,typo,medium,REC-015,SEC-1.2,answer,
E-REC-015-5,Keep Manual Current,keep manual current,bilingual,medium,REC-015,SEC-1.2,answer,
E-REC-016-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-016,SEC-1.2,answer,
E-REC-016-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-016,SEC-1.2,answer,
E-REC-016-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-016,SEC-1.2,answer,
E-REC-016-4,منيوال,منيوال,typo,medium,REC-016,SEC-1.2,answer,
E-REC-016-5,Submit Suggestions,submit suggestions,bilingual,medium,REC-016,SEC-1.2,answer,
E-REC-017-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-017,SEC-1.2,answer,
E-REC-017-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-017,SEC-1.2,answer,
E-REC-017-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-017,SEC-1.2,answer,
E-REC-017-4,منيوال,منيوال,typo,medium,REC-017,SEC-1.2,answer,
E-REC-017-5,Prepared By,prepared by,bilingual,medium,REC-017,SEC-1.2,answer,
E-REC-018-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-018,SEC-1.2,answer,
E-REC-018-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-018,SEC-1.2,answer,
E-REC-018-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-018,SEC-1.2,answer,
E-REC-018-4,منيوال,منيوال,typo,medium,REC-018,SEC-1.2,answer,
E-REC-018-5,Reviewed By,reviewed by,bilingual,medium,REC-018,SEC-1.2,answer,
E-REC-019-1,اعتماد الدليل,اعتماد الدليل,keyword,easy,REC-019,SEC-1.2,answer,
E-REC-019-2,وش اعتماد الدليل,وش اعتماد الدليل,colloquial,medium,REC-019,SEC-1.2,answer,
E-REC-019-3,وين ألقى اعتماد الدليل,وين القي اعتماد الدليل,formal,easy,REC-019,SEC-1.2,answer,
E-REC-019-4,منيوال,منيوال,typo,medium,REC-019,SEC-1.2,answer,
E-REC-019-5,Approved By,approved by,bilingual,medium,REC-019,SEC-1.2,answer,
E-REC-020-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-020,SEC-1.3,answer,
E-REC-020-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-020,SEC-1.3,answer,
E-REC-020-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-020,SEC-1.3,answer,
E-REC-020-4,منيوال,منيوال,typo,medium,REC-020,SEC-1.3,answer,
E-REC-020-5,1st Edition,1st edition,bilingual,medium,REC-020,SEC-1.3,answer,
E-REC-021-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-021,SEC-1.3,answer,
E-REC-021-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-021,SEC-1.3,answer,
E-REC-021-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-021,SEC-1.3,answer,
E-REC-021-4,منيوال,منيوال,typo,medium,REC-021,SEC-1.3,answer,
E-REC-021-5,2nd Edition,2nd edition,bilingual,medium,REC-021,SEC-1.3,answer,
E-REC-022-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-022,SEC-1.3,answer,
E-REC-022-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-022,SEC-1.3,answer,
E-REC-022-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-022,SEC-1.3,answer,
E-REC-022-4,منيوال,منيوال,typo,medium,REC-022,SEC-1.3,answer,
E-REC-022-5,3rd Edition,3rd edition,bilingual,medium,REC-022,SEC-1.3,answer,
E-REC-023-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-023,SEC-1.3,answer,
E-REC-023-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-023,SEC-1.3,answer,
E-REC-023-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-023,SEC-1.3,answer,
E-REC-023-4,منيوال,منيوال,typo,medium,REC-023,SEC-1.3,answer,
E-REC-023-5,4th Edition,4th edition,bilingual,medium,REC-023,SEC-1.3,answer,
E-REC-024-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-024,SEC-1.3,answer,
E-REC-024-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-024,SEC-1.3,answer,
E-REC-024-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-024,SEC-1.3,answer,
E-REC-024-4,منيوال,منيوال,typo,medium,REC-024,SEC-1.3,answer,
E-REC-024-5,5th Edition,5th edition,bilingual,medium,REC-024,SEC-1.3,answer,
E-REC-025-1,سجل الإصدارات,سجل الاصدارات,keyword,easy,REC-025,SEC-1.3,answer,
E-REC-025-2,وش سجل الإصدارات,وش سجل الاصدارات,colloquial,medium,REC-025,SEC-1.3,answer,
E-REC-025-3,وين ألقى سجل الإصدارات,وين القي سجل الاصدارات,formal,easy,REC-025,SEC-1.3,answer,
E-REC-025-4,منيوال,منيوال,typo,medium,REC-025,SEC-1.3,answer,
E-REC-025-5,6th Edition,6th edition,bilingual,medium,REC-025,SEC-1.3,answer,
E-REC-026-1,سجل الصفحات الفعالة,سجل الصفحات الفعاله,keyword,easy,REC-026,SEC-1.4,answer,
E-REC-026-2,وش سجل الصفحات الفعالة,وش سجل الصفحات الفعاله,colloquial,medium,REC-026,SEC-1.4,answer,
E-REC-026-3,وين ألقى سجل الصفحات الفعالة,وين القي سجل الصفحات الفعاله,formal,easy,REC-026,SEC-1.4,answer,
E-REC-026-4,منيوال,منيوال,typo,medium,REC-026,SEC-1.4,answer,
E-REC-026-5,Pages 1 to 40,pages 1 to 40,bilingual,medium,REC-026,SEC-1.4,answer,
E-REC-027-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-027,SEC-1.5,answer,
E-REC-027-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-027,SEC-1.5,answer,
E-REC-027-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-027,SEC-1.5,answer,
E-REC-027-4,منيوال,منيوال,typo,medium,REC-027,SEC-1.5,answer,
E-REC-027-5,Change to Section 1.7.2,change to section 1 7 2,bilingual,medium,REC-027,SEC-1.5,answer,
E-REC-028-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-028,SEC-1.5,answer,
E-REC-028-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-028,SEC-1.5,answer,
E-REC-028-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-028,SEC-1.5,answer,
E-REC-028-4,منيوال,منيوال,typo,medium,REC-028,SEC-1.5,answer,
E-REC-028-5,Change to Section 2.1.1,change to section 2 1 1,bilingual,medium,REC-028,SEC-1.5,answer,
E-REC-029-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-029,SEC-1.5,answer,
E-REC-029-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-029,SEC-1.5,answer,
E-REC-029-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-029,SEC-1.5,answer,
E-REC-029-4,سيتم طاح,سيتم طاح,typo,medium,REC-029,SEC-1.5,answer,
E-REC-029-5,Change to Section 2.8,change to section 2 8,bilingual,medium,REC-029,SEC-1.5,answer,
E-REC-030-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-030,SEC-1.5,answer,
E-REC-030-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-030,SEC-1.5,answer,
E-REC-030-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-030,SEC-1.5,answer,
E-REC-030-4,منيوال,منيوال,typo,medium,REC-030,SEC-1.5,answer,
E-REC-030-5,Change to Section 3.2,change to section 3 2,bilingual,medium,REC-030,SEC-1.5,answer,
E-REC-031-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-031,SEC-1.5,answer,
E-REC-031-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-031,SEC-1.5,answer,
E-REC-031-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-031,SEC-1.5,answer,
E-REC-031-4,إدراكك,ادراكك,typo,medium,REC-031,SEC-1.5,answer,
E-REC-031-5,Change to Chapter 4,change to chapter 4,bilingual,medium,REC-031,SEC-1.5,answer,
E-REC-032-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-032,SEC-1.5,answer,
E-REC-032-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-032,SEC-1.5,answer,
E-REC-032-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-032,SEC-1.5,answer,
E-REC-032-4,منيوال,منيوال,typo,medium,REC-032,SEC-1.5,answer,
E-REC-032-5,Change to Section 4.1,change to section 4 1,bilingual,medium,REC-032,SEC-1.5,answer,
E-REC-033-1,سجل التغييرات,سجل التغييرات,keyword,easy,REC-033,SEC-1.5,answer,
E-REC-033-2,وش سجل التغييرات,وش سجل التغييرات,colloquial,medium,REC-033,SEC-1.5,answer,
E-REC-033-3,وين ألقى سجل التغييرات,وين القي سجل التغييرات,formal,easy,REC-033,SEC-1.5,answer,
E-REC-033-4,إدراكك,ادراكك,typo,medium,REC-033,SEC-1.5,answer,
E-REC-033-5,Change to Section 5.2.1,change to section 5 2 1,bilingual,medium,REC-033,SEC-1.5,answer,
E-REC-034-1,غرض الدليل,غرض الدليل,keyword,easy,REC-034,SEC-1.6,answer,
E-REC-034-2,وش غرض الدليل,وش غرض الدليل,colloquial,medium,REC-034,SEC-1.6,answer,
E-REC-034-3,وين ألقى غرض الدليل,وين القي غرض الدليل,formal,easy,REC-034,SEC-1.6,answer,
E-REC-034-4,منيوال,منيوال,typo,medium,REC-034,SEC-1.6,answer,
E-REC-034-5,Purpose of IT OPM,purpose of it opm,bilingual,medium,REC-034,SEC-1.6,answer,
E-REC-035-1,غرض الدليل,غرض الدليل,keyword,easy,REC-035,SEC-1.6,answer,
E-REC-035-2,وش غرض الدليل,وش غرض الدليل,colloquial,medium,REC-035,SEC-1.6,answer,
E-REC-035-3,وين ألقى غرض الدليل,وين القي غرض الدليل,formal,easy,REC-035,SEC-1.6,answer,
E-REC-035-4,منيوال,منيوال,typo,medium,REC-035,SEC-1.6,answer,
E-REC-035-5,Manual Custodian,manual custodian,bilingual,medium,REC-035,SEC-1.6,answer,
E-REC-036-1,ضبط الوثائق,ضبط الوثايق,keyword,easy,REC-036,SEC-1.7,answer,
E-REC-036-2,وش ضبط الوثائق,وش ضبط الوثايق,colloquial,medium,REC-036,SEC-1.7,answer,
E-REC-036-3,وين ألقى ضبط الوثائق,وين القي ضبط الوثايق,formal,easy,REC-036,SEC-1.7,answer,
E-REC-036-4,منيوال,منيوال,typo,medium,REC-036,SEC-1.7,answer,
E-REC-036-5,Control of QMS Documents,control of qms documents,bilingual,medium,REC-036,SEC-1.7,answer,
E-REC-037-1,ضبط الوثائق,ضبط الوثايق,keyword,easy,REC-037,SEC-1.7,answer,
E-REC-037-2,وش ضبط الوثائق,وش ضبط الوثايق,colloquial,medium,REC-037,SEC-1.7,answer,
E-REC-037-3,وين ألقى ضبط الوثائق,وين القي ضبط الوثايق,formal,easy,REC-037,SEC-1.7,answer,
E-REC-037-4,منيوال,منيوال,typo,medium,REC-037,SEC-1.7,answer,
E-REC-037-5,Control of Records,control of records,bilingual,medium,REC-037,SEC-1.7,answer,
E-REC-038-1,حفظ السجلات,حفظ السجلات,keyword,easy,REC-038,SEC-1.7.1,answer,
E-REC-038-2,وش حفظ السجلات,وش حفظ السجلات,colloquial,medium,REC-038,SEC-1.7.1,answer,
E-REC-038-3,وين ألقى حفظ السجلات,وين القي حفظ السجلات,formal,easy,REC-038,SEC-1.7.1,answer,
E-REC-038-4,منيوال,منيوال,typo,medium,REC-038,SEC-1.7.1,answer,
E-REC-038-5,Manual Control Procedure,manual control procedure,bilingual,medium,REC-038,SEC-1.7.1,answer,
E-REC-039-1,حفظ السجلات,حفظ السجلات,keyword,easy,REC-039,SEC-1.7.1,answer,
E-REC-039-2,وش حفظ السجلات,وش حفظ السجلات,colloquial,medium,REC-039,SEC-1.7.1,answer,
E-REC-039-3,وين ألقى حفظ السجلات,وين القي حفظ السجلات,formal,easy,REC-039,SEC-1.7.1,answer,
E-REC-039-4,منيوال,منيوال,typo,medium,REC-039,SEC-1.7.1,answer,
E-REC-039-5,Manual Review Form,manual review form,bilingual,medium,REC-039,SEC-1.7.1,answer,
E-REC-040-1,حفظ السجلات,حفظ السجلات,keyword,easy,REC-040,SEC-1.7.1,answer,
E-REC-040-2,وش حفظ السجلات,وش حفظ السجلات,colloquial,medium,REC-040,SEC-1.7.1,answer,
E-REC-040-3,وين ألقى حفظ السجلات,وين القي حفظ السجلات,formal,easy,REC-040,SEC-1.7.1,answer,
E-REC-040-4,منيوال,منيوال,typo,medium,REC-040,SEC-1.7.1,answer,
E-REC-040-5,Temporary Revision,temporary revision,bilingual,medium,REC-040,SEC-1.7.1,answer,
E-REC-041-1,حفظ السجلات,حفظ السجلات,keyword,easy,REC-041,SEC-1.7.1,answer,
E-REC-041-2,وش حفظ السجلات,وش حفظ السجلات,colloquial,medium,REC-041,SEC-1.7.1,answer,
E-REC-041-3,وين ألقى حفظ السجلات,وين القي حفظ السجلات,formal,easy,REC-041,SEC-1.7.1,answer,
E-REC-041-4,منيوال,منيوال,typo,medium,REC-041,SEC-1.7.1,answer,
E-REC-041-5,Edition and Temporary Revision Control Form,edition and temporary revision control form,bilingual,medium,REC-041,SEC-1.7.1,answer,
E-REC-042-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-042,SEC-1.7.2,answer,
E-REC-042-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-042,SEC-1.7.2,answer,
E-REC-042-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-042,SEC-1.7.2,answer,
E-REC-042-4,فرشدسك,فرشدسك,typo,medium,REC-042,SEC-1.7.2,answer,
E-REC-042-5,IT Support Ticket Records,it support ticket records,bilingual,medium,REC-042,SEC-1.7.2,answer,
E-REC-043-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-043,SEC-1.7.2,answer,
E-REC-043-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-043,SEC-1.7.2,answer,
E-REC-043-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-043,SEC-1.7.2,answer,
E-REC-043-4,باكاب,باكاب,typo,medium,REC-043,SEC-1.7.2,answer,
E-REC-043-5,Meeting Minutes Records,meeting minutes records,bilingual,medium,REC-043,SEC-1.7.2,answer,
E-REC-044-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-044,SEC-1.7.2,answer,
E-REC-044-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-044,SEC-1.7.2,answer,
E-REC-044-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-044,SEC-1.7.2,answer,
E-REC-044-4,باكاب,باكاب,typo,medium,REC-044,SEC-1.7.2,answer,
E-REC-044-5,CBT Routine Card Records,cbt routine card records,bilingual,medium,REC-044,SEC-1.7.2,answer,
E-REC-045-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-045,SEC-1.7.2,answer,
E-REC-045-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-045,SEC-1.7.2,answer,
E-REC-045-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-045,SEC-1.7.2,answer,
E-REC-045-4,فرشدسك,فرشدسك,typo,medium,REC-045,SEC-1.7.2,answer,
E-REC-045-5,Automatic Backup Feature,automatic backup feature,bilingual,medium,REC-045,SEC-1.7.2,answer,
E-REC-046-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-046,SEC-1.7.2,answer,
E-REC-046-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-046,SEC-1.7.2,answer,
E-REC-046-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-046,SEC-1.7.2,answer,
E-REC-046-4,باكاب,باكاب,typo,medium,REC-046,SEC-1.7.2,answer,
E-REC-046-5,Retention of IT Records,retention of it records,bilingual,medium,REC-046,SEC-1.7.2,answer,
E-REC-047-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-047,SEC-1.7.2,answer,
E-REC-047-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-047,SEC-1.7.2,answer,
E-REC-047-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-047,SEC-1.7.2,answer,
E-REC-047-4,باكاب,باكاب,typo,medium,REC-047,SEC-1.7.2,answer,
E-REC-047-5,Access and Retrieval of IT Records,access and retrieval of it records,bilingual,medium,REC-047,SEC-1.7.2,answer,
E-REC-048-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-048,SEC-1.7.2,answer,
E-REC-048-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-048,SEC-1.7.2,answer,
E-REC-048-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-048,SEC-1.7.2,answer,
E-REC-048-4,باكاب,باكاب,typo,medium,REC-048,SEC-1.7.2,answer,
E-REC-048-5,Disposal of IT Records,disposal of it records,bilingual,medium,REC-048,SEC-1.7.2,answer,
E-REC-049-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-049,SEC-1.7.2,answer,
E-REC-049-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-049,SEC-1.7.2,answer,
E-REC-049-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-049,SEC-1.7.2,answer,
E-REC-049-4,إدراكك,ادراكك,typo,medium,REC-049,SEC-1.7.2,answer,
E-REC-049-5,EDRAK Routine Maintenance Card,edrak routine maintenance card,bilingual,medium,REC-049,SEC-1.7.2,answer,
E-REC-050-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-050,SEC-1.7.2,answer,
E-REC-050-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-050,SEC-1.7.2,answer,
E-REC-050-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-050,SEC-1.7.2,answer,
E-REC-050-4,باكاب,باكاب,typo,medium,REC-050,SEC-1.7.2,answer,
E-REC-050-5,Meeting Minutes,meeting minutes,bilingual,medium,REC-050,SEC-1.7.2,answer,
E-REC-051-1,تخزين السجلات,تخزين السجلات,keyword,easy,REC-051,SEC-1.7.2,answer,
E-REC-051-2,وش تخزين السجلات,وش تخزين السجلات,colloquial,medium,REC-051,SEC-1.7.2,answer,
E-REC-051-3,وين ألقى تخزين السجلات,وين القي تخزين السجلات,formal,easy,REC-051,SEC-1.7.2,answer,
